GlobalId,nid:ID,:LABEL
0otlA1TWvCPvzfXTM_RO1R,35,IfcRelContainedInSpatialStructure
3GDa9YZWHC0BfFB0awJ8ip,78,IfcRelContainedInSpatialStructure
2$_YUXeGL8pAurWW_CoJDP,192,IfcRelContainedInSpatialStructure
2IQ7XmDtz3AOSVy9rvyy1x,222,IfcRelContainedInSpatialStructure
1GuEb$2G1Fq9LkSbJ4ebaI,268,IfcRelContainedInSpatialStructure
0xVV9VnXn64h2Cl59YBt_g,281,IfcRelContainedInSpatialStructure
2cc1I9cIPA7eIKlK5cMvtc,2356,IfcRelContainedInSpatialStructure
3qN0baRYnBvBPGd1xRbHaS,2435,IfcRelContainedInSpatialStructure
2nZFOYujLDEBmBr6k_SZzk,2503,IfcRelContainedInSpatialStructure
3tZnAzGWX2BRFqM2LFTIID,2585,IfcRelContainedInSpatialStructure
0XFHTCGqnEgAUEWlbeNEH5,2657,IfcRelContainedInSpatialStructure
20a7hhIkf6LQU$pOGaNczP,2729,IfcRelContainedInSpatialStructure
29KzlqSHLD_9aJANqwiAOM,2801,IfcRelContainedInSpatialStructure
